name,,source,comments
@rebchi,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=UgzqxmlUdCpFW6PaG054AaABAg,It is Taco Tuesday after all
@MyAjtaylor,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=UgxY7wDXqLC5Xaj1tfN4AaABAg,TACO is a worldwide laughing stock at this point.
@ericbergman7546,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=UgyE-nBQO9CGv2Vsmyp4AaABAg,"New tariffs and tax changes just dropped. Trump delays the higher tariffs, but now he's hitting some countries with brand new taxes. This is going to shake up the markets again. I’m seriously worried about how this affects our investments and retirement accounts."
@bluelightningstrike7065,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=UgwfKFTFKqKuQqbsEyt4AaABAg,Just call his bluff. He doesn't have any cards
@c.a.savage5689,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=UgxVa9INy6fAm3QoNWh4AaABAg,"Bullying and threatening. Yes, that will make for good, stable trade relations. Run, don't walk, from this country as fast as you can. Trading with Trump's America is a lose-lose proposition."
@mildlyAnnoyed123,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=UgzJxcsynmZysRX6A7V4AaABAg,When every other leader sounds reasonable next to Trump - America you've got major problems.
@davecooper3238,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=UgxFsbB7h7iQsUZhki54AaABAg,How many countries have decided that trade with the USA isn’t worth the bother ?
@JEng-oc1lc,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=Ugy55tvwYZ62I4myVTN4AaABAg,TACO again?
@baconstrips6260,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=UgyFJYDTXnCDnb3j8iR4AaABAg,Did Mr. Japan even say thank you yet?
@thesweetone,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=UgxujLsqGCY-8APwUZd4AaABAg&pp=0gcJCSMANpG00pGi,Trump Always Chickens Out. Abandon USA!
@monicac9643,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=UgwAycw63ZkJcyRFv054AaABAg,The rest of the World: No deal. Keep your threats! The world has moved on.
@sarahsokal,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=UgwU9_CJwiZNAfDKWa94AaABAg,Market manipulation for the billionaires is what it is....
@danmayberry1185,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=Ugz8tbeVfb_UF1bPnM14AaABAg&pp=0gcJCSMANpG00pGi,"Take heart. Canada - America's largest importer and exporter - has seen exports to the US drop to pandemic lows. Despite that hit, new trade has pushed its exports up 1.1% overall. Meanwhile, US exports are down by 6%."
@TR4zest,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=UgwxZkadP92_gAWGy3F4AaABAg,Is this TACO again?
@enlightnedsoul4124,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=UgzgNZAeGcrrUIbJ_P54AaABAg,90 days.... 90 deals...
@nigelcurtis3421,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=UgxOvrzhzQr3p1SgeWF4AaABAg,"What you really meant to say was ;- ""TACO has Absolutely NO IDEA what he is Doing"""
@B_James.A,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=UgwlRY2qszQTHPJKzCZ4AaABAg,"Man, America’s getting rough out here, cost of living’s up, taxes are draining us, and it feels like there’s no real break."
@Desi3arms,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=UgztmEnTlgIzbkQaQR94AaABAg,It’s not a tax on countries.  It’s a tax on Americans. Why is the media so awful at covering tariffs.
@blackgrandpa7652,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=UgyPmYP0rykp3ocowUl4AaABAg&pp=0gcJCSMANpG00pGi,They don't call him T.A.C.O for nothing the  American consumers are gonna pay higher prices through their teeth and some in there Ass
@pragmatica1032,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=UgxscLMcnN7ZYlA6tPJ4AaABAg,"""We have these beautiful letters..."" Take a peek at them, they appear quite childish and written in a passive-aggressive tone."
@mildlyAnnoyed123,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=UgzJxcsynmZysRX6A7V4AaABAg,When every other leader sounds reasonable next to Trump - America you've got major problems.
@davecooper3238,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=UgxFsbB7h7iQsUZhki54AaABAg,How many countries have decided that trade with the USA isn’t worth the bother ?
@JEng-oc1lc,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=Ugy55tvwYZ62I4myVTN4AaABAg,TACO again?
@baconstrips6260,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=UgyFJYDTXnCDnb3j8iR4AaABAg,Did Mr. Japan even say thank you yet?
@thesweetone,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=UgxujLsqGCY-8APwUZd4AaABAg&pp=0gcJCSMANpG00pGi,Trump Always Chickens Out. Abandon USA!
@monicac9643,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=UgwAycw63ZkJcyRFv054AaABAg,The rest of the World: No deal. Keep your threats! The world has moved on.
@sarahsokal,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=UgwU9_CJwiZNAfDKWa94AaABAg,Market manipulation for the billionaires is what it is....
@danmayberry1185,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=Ugz8tbeVfb_UF1bPnM14AaABAg&pp=0gcJCSMANpG00pGi,"Take heart. Canada - America's largest importer and exporter - has seen exports to the US drop to pandemic lows. Despite that hit, new trade has pushed its exports up 1.1% overall. Meanwhile, US exports are down by 6%."
@TR4zest,,https://www.youtube.com/watch?v=GjRA1ODmLG8&lc=UgwxZkadP92_gAWGy3F4AaABAg,Is this TACO again?
